date,daily_electrical_consumption
2017-05-01,3769672.0
2017-05-02,2914980.0
2017-05-03,2776957.0
2017-05-04,2537927.0
2017-05-05,2511660.0
2017-05-06,1902213.0
2017-05-07,2348394.0
2017-05-08,1959737.0
2017-05-09,2286356.0
2017-05-10,2430882.0
2017-05-11,2375852.0
2017-05-12,3540700.0
2017-05-13,2089327.0
2017-05-14,1946947.0
2017-05-15,2268640.0
2017-05-16,2285290.0
2017-05-17,2283469.0
2017-05-18,2297800.0
2017-05-19,2292377.0
2017-05-20,2056838.0
2017-05-21,1911940.0
2017-05-22,2227474.0
2017-05-23,2264744.0
2017-05-24,2264170.0
2017-05-25,1966462.0
2017-05-26,2067116.0
2017-05-27,1960461.0
2017-05-28,1860887.0
2017-05-29,2234719.0
2017-05-30,2283650.0
2017-05-31,2281938.0
2017-06-01,3917136.0
2017-06-02,3330355.0
2017-06-03,3127989.0
2017-06-04,2582492.0
2017-06-05,2257143.0
2017-06-06,2215305.0
2017-06-07,2384266.0
2017-06-08,1799973.0
2017-06-09,2286778.0
2017-06-10,2422332.0
2017-06-11,2935250.0
2017-06-12,3565450.0
2017-06-13,2317397.0
2017-06-14,2340005.0
2017-06-15,2364929.0
2017-06-16,2316182.0
2017-06-17,2053403.0
2017-06-18,1936727.0
2017-06-19,2344763.0
2017-06-20,2440940.0
2017-06-21,2471423.0
2017-06-22,2486249.0
2017-06-23,2385601.0
2017-06-24,2084196.0
2017-06-25,1928168.0
2017-06-26,2291654.0
2017-06-27,2350199.0
2017-06-28,2295296.0
2017-06-29,2259794.0
2017-06-30,2235113.0
2017-07-01,3756992.0
2017-07-02,3318529.0
2017-07-03,3188021.0
2017-07-04,2545011.0
2017-07-05,2117436.0
2017-07-06,2251032.0
2017-07-07,2387863.0
2017-07-08,2017470.0
2017-07-09,2281900.0
2017-07-10,2217185.0
2017-07-11,3128057.0
2017-07-12,3607412.0
2017-07-13,2301460.0
2017-07-14,1991254.0
2017-07-15,1963011.0
2017-07-16,1896373.0
2017-07-17,2292593.0
2017-07-18,2384810.0
2017-07-19,2379416.0
2017-07-20,2320769.0
2017-07-21,2270877.0
2017-07-22,2015358.0
2017-07-23,1876705.0
2017-07-24,2195272.0
2017-07-25,2243060.0
2017-07-26,2257067.0
2017-07-27,2254712.0
2017-07-28,2209023.0
2017-07-29,1979506.0
2017-07-30,1847176.0
2017-07-31,2109584.0
2017-08-01,3397483.0
2017-08-02,3396230.0
2017-08-03,3137399.0
2017-08-04,2193573.0
2017-08-05,2184603.0
2017-08-06,2272506.0
2017-08-07,2107514.0
2017-08-08,2027545.0
2017-08-09,2276302.0
2017-08-10,2073713.0
2017-08-11,3164071.0
2017-08-12,3488302.0
2017-08-13,1742986.0
2017-08-14,1916655.0
2017-08-15,1828548.0
2017-08-16,2013276.0
2017-08-17,2068642.0
2017-08-18,2076698.0
2017-08-19,1892002.0
2017-08-20,1785648.0
2017-08-21,2089993.0
2017-08-22,2175659.0
2017-08-23,2196883.0
2017-08-24,2216626.0
2017-08-25,2215015.0
2017-08-26,2005751.0
2017-08-27,1884782.0
2017-08-28,2263304.0
2017-08-29,2344712.0
2017-08-30,2335222.0
